supplier_id,as_of_time,label_window_end,delivery_delay_rate_30d,defect_rate_90d,cancellation_rate_90d,on_time_delivery_trend_90d,lead_time_variance_days,open_disputes,financial_stability_index,recent_incidents,disruption_next_14d
SUP-00255,2019-01-15,2019-01-29,0.196217,0.070938,0.058629,-0.015064,1.536183,0,0.700164,0,0
SUP-00338,2019-01-23,2019-02-06,0.118212,0.035447,0.044049,-0.158983,4.048511,0,0.766852,1,0
SUP-00216,2019-03-24,2019-04-07,0.148943,0.071364,0.027767,-0.12418,5.550173,3,0.581457,2,0
SUP-00268,2019-05-01,2019-05-15,0.2752,0.112373,0.057012,-0.098742,5.748863,0,0.737466,1,0
SUP-00005,2019-05-08,2019-05-22,0.345948,0.088057,0.042535,-0.011398,8.050541,3,0.73066,0,0
SUP-00229,2019-05-15,2019-05-29,0.426756,0.095042,0.061492,-0.119855,9.648629,2,0.656589,6,1
SUP-00248,2019-05-17,2019-05-31,0.518538,0.097568,0.071888,-0.11492,9.401949,1,0.443381,1,1
SUP-00278,2019-05-28,2019-06-11,0.297831,0.031214,0.015897,-0.00852,2.658731,0,0.656318,0,0
SUP-00340,2019-06-06,2019-06-20,0.228882,0.044456,0.07406,-0.011701,6.508453,0,0.608335,1,0
SUP-00160,2019-06-12,2019-06-26,0.184289,0.059734,0.041336,-4.1e-05,1.960217,0,0.780378,1,0
SUP-00471,2019-06-23,2019-07-07,0.192948,0.114291,0.036752,-0.049969,6.131761,2,0.647589,0,0
SUP-00011,2019-07-30,2019-08-13,0.206971,0.026519,0.032538,-0.011051,2.304193,0,0.814153,1,0
SUP-00468,2019-08-18,2019-09-01,0.135696,0.063784,0.059117,-0.05035,1.371697,0,0.870024,0,0
SUP-00464,2019-09-17,2019-10-01,0.144691,0.085663,0.065969,-0.059724,6.888179,1,0.808104,0,0
SUP-00030,2019-09-27,2019-10-11,0.285644,0.063242,0.070528,-0.070093,6.316535,3,0.561638,0,0
SUP-00210,2019-10-19,2019-11-02,0.199163,0.047849,0.060911,-0.049637,3.763481,0,0.685143,0,0
SUP-00338,2019-11-18,2019-12-02,0.416282,0.085012,0.0947,-0.102423,7.853446,3,0.510243,2,1
SUP-00060,2019-12-17,2019-12-31,0.2377,0.02055,0.060227,-0.027882,5.008387,0,0.870359,1,0
SUP-00342,2020-01-20,2020-02-03,0.214968,0.022324,0.014874,-0.064824,3.126518,0,0.545968,1,0
SUP-00340,2020-01-30,2020-02-13,0.293735,0.02282,0.054084,-0.060718,2.782514,1,0.619203,0,0
SUP-00496,2020-02-18,2020-03-03,0.079629,0.082048,0.017127,-0.023062,3.30013,0,0.765703,1,0
